Date,Company,Location,Title,Role Summary,Responsibilities,Skills / Desired Characteristics,Min Qualifications,Preferred Qualifications
8/6/2014,Walmart eCommerce,"San Bruno, CA",Art Director,"The Art Director will be a leader, problem solver and conceptual thinker. She/he is responsible for managing a small to mid-size team responsible for the day-to-day updates and seasonal campaigns on samsclub.com. She/he directs the implementation of the design strategy under the guidance of senior creative management by translating marketing goals and consumer insights into creative concepts; keeping up-to-date on industry trends, best practices, and the competitive landscape; collaborating with cross-functional partners (for example, Producers, Marketing, Site, agencies) to influence the development of creative executions; understanding the capabilities of company technologies (for example, platform, marketing, mobile, social); recommending new technologies to support digital marketing programs; and partnering with other art directors and management to help identify opportunities for new functional systems and processes.","Coordinates, completes, and oversees job-related activities and assignments
Ensures compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity
Ensures consistent application of the online brand and brand voice
Facilitates improvements in the creative process
Manages small to mid-sized creative projects from concept to completion under the guidance of management
Manages the implementation of the design strategy under the guidance of senior creative management
Provides supervision and development opportunities for associates
",,"Bachelor s degree in Design, Advertising, Fine Arts, or related field and 2 years experience in creative project management, including graphic design OR 5 years experience in creative project management, including graphic design.
","1 year experience managing brand initiatives for product launches.
1 year experience managing design teams in a retail creative environment.
1 year experience working for or with creative agencies.
2 years experience developing design concepts in a retail or marketing environment.
2 years experience managing small- to mid-scale interactive campaigns in an online creative or related digital field.
2 years of supervisory experience."
8/9/2014,Amplify,"Brooklyn, NY",Art Director,"Amplify is seeking an Art Director to lead design initiatives for next generation educational applications. We're looking for creative visionaries with a broad interactive, mobile and graphic design background. The Art Director will report to Design Directors and the Creative Director, and is responsible for translating both 'user' and 'stakeholder' needs into functional, creative design solutions, while managing a team of designers to communicate both brand consistency and unique approaches to curriculum design. The ideal candidate will push the limits of creativity and storytelling with a deep understanding of new technologies.","Develop original creative concepts and approaches with the project team, including product owners, UX designers, and programmers.
Develop original design concepts and oversee project design from concept through execution.
Design innovative and intuitive layouts and interfaces that utilize a diverse range of visuals (photography, illustration, 3D graphics, animation, infographics, and icons).
Produce exceptional work in short timeframes, manage time efficiently while multi-tasking across different projects and clients.
Communicate conceptual ideas and design rationale to other members of the design, development and client teams.
Design according to internal style guidelines and contribute to the creation of a digital brand strategy.",,"Bachelor’s degree in design or equivalent work experience
7+ years of experience in design and art production
3+ years of experience in Adobe Creative Suite and a working knowledge of HTML, CSS, JavaScript, Adobe Flash
1-2 years’ experience managing others, formally or project-based
Online portfolio and a well-maintained sketchbook for in-person presentation","Strong conceptual thinker, with knowledge of visual storytelling, typography, iconography, color theory, proportion and layout for mobile, tablets, print (and the production methods associated with each)
Experience designing for mobile applications
Experience creating and working with wireframes, sketches, UI and final visual design
Positive, enthusiastic attitude"
8/9/2014,Instagram,"Menlo Park, CA",Art Director,"As we build better experiences for people to capture visual moments, we are looking for a talented Art Director with a strong aesthetic point of view to provide Instagram photographers with the next set of industry leading tools to bring their creativity to life. This creative lead will also curate, produce and present a variety of looks that tell Instagram's story around building these tools. 

This person must be passionate about photography, an expert with Photoshop and related photography software/apps, and a natural tastemaker.","Curator: Curate and present a variety of compelling looks that tell the story and emotions behind a set theme
Producer: Design and produce creative tool assets, including custom filters for photos and videos, in partnership with Product Design, Product and Engineering, Marketing, Content and Community teams
Tastemaker: Identify and feature emerging trends within international photography, art, design, fashion or creative communities
Connector: Collaborate with different photographers to execute photo shoots end-to-end for a range of subjects, tones and styles",,"MFA in Visual Communication, Design or Advertising preferred
BFA or equivalent background
5+ years of experience in design, art, or brand/advertising
A remarkable and well-rounded portfolio that demonstrates strong creative direction and a breadth of visual styles
Expertise with Photoshop, InDesign, Illustrator, Afterlight, and related photography software/apps
An eye for creativity and versatility to direct and work with different aesthetics and mediums
Exceptional storytelling and communication skills to convey a unique Instagram point of view
Experience working with iconic brands or companies with strong design/creative voice, e.g. magazines or lifestyle brands
Passion and experience with photography
Both in-house and client experience a plus
Experience with technology brand a plus",
8/9/2014,Intel,"Santa Clara, California",Art Director & User Experience Lead,"Based in Santa Clara, CA we are seeking a dynamic user experience & visual designer with skills and experience in driving outstanding mobile app UX while simultaneously driving the Visual Design of content within the product & product communications. This role is unique in its scope and we seek a senior person with the experience to oversee and direct efforts but who is also willing to roll up thier sleeves and move at the speed of this dynamic, high-paced team.
","UX:
- You will own the entire user experience design for the Pocket Avatars mobile app for iOS and Android phones, tablets and web.
- Oversee external design agency as required
- Oversee & direct internal graphic designers in asset creation & delivery
- Design and deliver iterative UX improvements as problems and new features are introduced on a rapid and regular cadence
- Partner closely with Product Management to align & prioritize features & UX enhancements
- Partner with useability experts to deeply deeply understand how our app is used and how to improve it
- Help to shape the overall product direction to help us achieve our ambitious goals and roadmap
- Create a process and manage creation of UI assets for mobile and web clients
- Define research criteria, lead user research and translate results into design decisions

Art Direction:
-You will own and drive an integrated and cohesive visual design strategy & language for the UI, for the Avatar content inside our product & for our outbound communication
- Oversee & direct the visual design direction for 2D & 3D modelers that create avatars for our product
- Drive the visual design strategy to ensure that have a broad and appealing set of lively, fun and highly engaging avatars
- Partner closely with & direct the activites of the avatar production team
- Direct & oversee the visual design direction for the app UI
- Set design direction for outbound communication & visual identity",,"Education:
-You must possess a minimum a BS/BA in Design or a related degree, or a demonstrated track record of expertise in interactive digital design.

Experience/Skills:
-At least 7 years of relevant mobile/b2c product UX Design experience
-At least 7 years digital Visual Design experience
-Experience building and delivering products in the consumer, mobile iOS/Google apps space
-Demonstrated ability to work effectively with cross-functional, high paced team
-Excellent communications skills (verbal, written and graphical)
-Big thinker with extreme attention to detail
-Ability to collaborate with software engineers to envision, iterate and implement concepts.
-Proficient in a variety of methods to convey ideas and concepts (e.g. storytelling, storyboards, wireframes, prototypes, etc).
-Ability to understand customer needs, motivations and behaviors and translate them into actionable deliverables.
-Ability and willingness to work on user-led, engineering-led and business-led path finding activities
-Must thrive working in a dynamic, fast-moving environment.
-Experience designing for compliance to iOS Human Interface Guidelines.
-Proficient in Adobe Creative Suite, Axure and similar asset creation tools.
-Mastery in creation of interaction design deliverables including IA documentation, concept diagrams, user scenarios, wireframes, flows, etc.

Please include work portfolio with application.",
8/9/2014,Quidsi Inc.,"Jersey City, NJ",Associate Creative Director,"Quidsi’s Associate Creative Directors are hands-on; a combination of creative powerhouse and team leader. They help determine the brand aesthetics of our proprietary sites — and recommend creative approaches that will keep our competitive edge. And they partner with our retail teams to identify key opportunities, manage the marketing and email calendars, keep the work moving and help our writers and designers to create the best e-comm brands out there.

Opportunities to produce great work happen daily at Quidsi. The challenges are in making smart decisions on where to spend our time, and how to make the most impact. Our ACD’s understand the magic of our brands and they translate that formula efficiently, with consistency, relevance and results. They‘re also passionate about e-commerce, seasonal promotions and great advertising. And finally, they strike the right balance between doing all this breakthrough work and keeping our creative teams inspired and happy.","Own the creative marketing vision for Diapers.com
• Drive the daily workflow of graphic designers and freelancers (as needed)
• Serve as brand steward, ensuring that all assets adhere to brand standards and overall web design best practices (particularly the overall Quidsi/Familyhood strategy)
• Make recommendations for changes that will engage customers and push a brand forward
• Establish creative processes and priorities; schedule site updates
• Lead and participate in the design and production of on-site, affiliate and email campaign assets (occasional print projects)
• Develop, Inspire and Coach the Designer team
• Partner with the Retail and Editorial organization to concept and develop effective, on-brand creative that meets business objectives
• Collaborate with the User Experience team on special projects to ensure cohesive brand experience across new functionality and features
• Continually evaluate, analyze and leverage A/B testing capability to improve campaign performance
• Manage ongoing updates and optimization of brand style guide to ensure its effectiveness
• Oversee site asset reference library",," Minimum of 7 years design experience, with 4+ years of digital experience
• Minimum of 2 years managing a team of Creative Designers
• Minimum of 3 years’ experience working with Photoshop and Illustrator"," Bachelor’s Degree
• Digital experience with eCommerce
• Knowledge of HTML, CSS and print process a plus
• Strong collaboration and communication skills
• Well-timed tenacity and conviction
• Web-based portfolio exhibiting web and print projects
• Experience working closely with cross-functional teams
• Ability to work well as both a team player and leader
• Ability to stay calm under pressure and tight deadlines
• A positive, entrepreneurial spirit
• Customer-focused thinking"
8/9/2014,Quidsi Inc.,"Jersey City, NJ",Associate Creative Director,"Quidsi’s Associate Creative Directors are hands-on; a combination of creative powerhouse and team leader. They help determine the brand aesthetics of our proprietary sites — and recommend creative approaches that will keep our competitive edge. And they partner with our retail teams to identify key opportunities, manage the marketing and email calendars, keep the work moving and help our writers and designers to create the best e-comm brands out there.

Opportunities to produce great work happen daily at Quidsi. The challenges are in making smart decisions on where to spend our time, and how to make the most impact. Our ACD’s understand the magic of our brands and they translate that formula efficiently, with consistency, relevance and results. They‘re also passionate about e-commerce, seasonal promotions and great advertising. And finally, they strike the right balance between doing all this breakthrough work and keeping our creative teams inspired and happy.","Own the creative marketing vision for Diapers.com
• Drive the daily workflow of graphic designers and freelancers (as needed)
• Serve as brand steward, ensuring that all assets adhere to brand standards and overall web design best practices (particularly the overall Quidsi/Familyhood strategy)
• Make recommendations for changes that will engage customers and push a brand forward
• Establish creative processes and priorities; schedule site updates
• Lead and participate in the design and production of on-site, affiliate and email campaign assets (occasional print projects)
• Develop, Inspire and Coach the Designer team
• Partner with the Retail and Editorial organization to concept and develop effective, on-brand creative that meets business objectives
• Collaborate with the User Experience team on special projects to ensure cohesive brand experience across new functionality and features
• Continually evaluate, analyze and leverage A/B testing capability to improve campaign performance
• Manage ongoing updates and optimization of brand style guide to ensure its effectiveness
• Oversee site asset reference library
",,"Minimum of 7 years design experience, with 4+ years of digital experience
• Minimum of 2 years managing a team of Creative Designers
• Minimum of 3 years’ experience working with Photoshop and Illustrator
","• Bachelor’s Degree
• Digital experience with eCommerce
• Knowledge of HTML, CSS and print process a plus
• Strong collaboration and communication skills
• Well-timed tenacity and conviction
• Web-based portfolio exhibiting web and print projects
• Experience working closely with cross-functional teams
• Ability to work well as both a team player and leader
• Ability to stay calm under pressure and tight deadlines
• A positive, entrepreneurial spirit
• Customer-focused thinking"
8/9/2014,Google,"Sydney, Australia",Associate Product Manager,"At Google, we put our users first. From innovative software products like Gmail, YouTube, Chrome, StreetView to pioneering mobile devices like the Android, we build products that organize the world's information and make it universally accessible to our users. The Product Management team works closely with our engineers to guide products from conception to launch. As part of the Product Management team, you bridge the technical and business worlds as you design services that our customers love. You'll work with Googlers from Engineering, Sales, Marketing, and Finance, to name just a few. You have a bias toward action and can break down complex problems into steps that drive product development at Google speed. As a Product Manager, you will be part of shaping Google's next moonshot.","Understand and analyze user needs.
Help to define a product vision and strategy.
Work with engineers to build and launch new features.
",,"BS degree in Computer Science, related technical field or equivalent practical experience. ","MBA or MS degree.
Strong technical abilities.
Demonstrated capacity for developing and understanding strategy.
Interest in creating and analyzing products.
Excellent organizational and analytical skills.
Excellent communication skills."
8/7/2014,Yeh Ideology - Higher Education,Greater Michigan,Chair of Interaction Design,"Are you an interaction designer who possesses advanced experience in UX and Interface Design? Do you enjoy guiding junior interaction designers in developing comprehensible and accessible interaction technology? Do you possess leadership skills, and are capable of maintaining corporate relationships in the professional sphere of interaction design? If so, then this may be a perfect opportunity for you.

Yeh IDeology is a boutique design, strategy and innovation recruitment firm based out of New York City. Our client is an educational institution seeking a highly experienced UX designer with teaching experience at the college level. They require a professional with a passion for helping junior designers improve the understandability and comprehensiveness of their interface designs.","Experience in designing for human-to-technology interaction and broad understanding of user psychology for efficient device usage.
*Ability to guide, manage and supervise a large group of designers in a particular department in order to achieve similar goals of improved interactivity.
*Experience in imparting education to a group of individuals working towards improving the comprehensibility of their interface designs.
* Creating a strategic curriculum for an immensely popular field of design with unlimited possibilities and untapped potential.
* Extraordinary social skills and ability to maintain beneficial corporate relationships.
* Solid understanding of user behavior when it comes to designing technology for higher manual productivity.

","MFA, MBA, MS or higher in Interaction Design, Graphic Design, or other social digital media-related fields.
*BA or BS in Interaction Design, Product Design or User Evaluation.
*Teaching experience at college level, or in a studio setting.
*Exemplary interpersonal skills, as well as the ability to lead, guide and collaborate on creative projects.

",,
8/9/2014,Instagram,"Menlo Park, CA",Communication Designer,"A Communication Designer will design user-facing communication including product marketing pages, product tours, user education and creative brand campaigns. This person will build and manage visual systems that support brand consistency across all communication channels. 

This person will also work cross-functionally with the Communications team as well as the larger Communication Design team within Facebook. 

We are looking for a creative web designer. You must be comfortable working across many media, you think style exists to support ideas and you’re constantly learning new skills. You have a strong point of view on design. It shows in your writing, speaking and work. When you decide to make something, you see your vision from concept to launch without a lot of hand-holding.
","Design and document visual systems
Lead branding and user education projects
Initiate and ship work that has a big impact
Collaborate with designers, product managers and engineers
Present your work in weekly design critiques
Promote design thinking at Instagram",,"Strong portfolio including:
User-friendly web design and creative branding work
Experience with Product Marketing launches huge plus
Deep knowledge of typography and grid systems
Expert Adobe skills
Pixel-perfect attention to detail
Can clearly articulate design decisions
History of self-initiated projects
Writes well and understands basic content strategy
Must provide portfolio of work",
8/9/2014,Intel,"San Francisco, CA",Concept Designer,"Creates and develops concepts and specifications that optimize the function, value and appearance of products and systems for the mutual benefit of both user and manufacturer. Collects, analyzes and synthesizes data guided by the special requirements of the customer or manufacturer. Possesses general knowledge of Design Process, but has limited use of accepted practices, procedures and methodologies. Contributes to larger teams by implementing small to medium-sized parts of products or concepts. Solves problems of low to medium complexity and often works from high-level sketches or solutions developed by others. Individual learns what resources are available and asks for help as necessary. Produces appropriate documentation relevant to current assignment and works from specific detailed instructions under the close supervision of a Senior Concept Designer.
",,,"Education requirements:
BS in Industrial Design or BFA

Experience requirements:
2 years, designing products or Entertainment design

6 years experience in polygonal modeling such as Modo, Maya, ZBrush or 3Ds MAX.

Must be lightning fast and able to create multiple iterations of any concept.
Needs to be able to champion projects and inspire the team with exceptional design. Needs to able to take design dictation and implement when the need arises.

4 years of solid experience as an exceptional artist and able to create designs freehand and digitally. Must have an outstanding sense of design balance. Needs to understand the importance of texture, color and materials and how it impacts a design. Understands the importance of lighting. Can digitally create dynamic lighting environments to showcase concepts .
","Experience in entertainment design is a huge plus such as movies or gaming. Must be incredibly imaginative but also have the ability to work with engineers to bring their concepts into real world application/products. Needs to be able to collaborate well with other Industrial, UX and UI designers in order to achieve one vision. Must be an excellent communicator who is always accessible, responds quickly and is easy to work with.

Has a passion for consumer products such as watches, eyewear, goggles, helmets, etc. A passion for automotive, motorcycle and bicycle design is also a big plus.
"
